split,radius,n_bits,seed,r2,rmse,mae,train_seconds
random,2,1024,42,0.7441558681409881,0.6957420999825737,0.4974901877703294,6.9
random,2,1024,1,0.7451967745884822,0.694325337865876,0.49726315970360757,6.9
random,2,1024,2,0.7450380371059055,0.694541579822516,0.49716903056859146,6.9
random,2,2048,42,0.7458803171701409,0.6933934037127187,0.493377652872637,15.4
random,2,2048,1,0.7461538024411841,0.6930201860041313,0.4935219277925517,15.5
random,2,2048,2,0.7447716120808445,0.6949043691191137,0.4939889686004342,15.6
random,3,1024,42,0.7448945880590697,0.6947369370368822,0.4999839181819499,7.6
random,3,1024,1,0.7448567995123436,0.6947883905259862,0.5001483001273361,7.7
random,3,1024,2,0.7463535142989803,0.6927475177840355,0.49845294523183853,7.8
random,3,2048,42,0.7491954905440252,0.6888556486296713,0.4913137461475333,17.2
random,3,2048,1,0.7491789435428412,0.6888783721190905,0.49011304872154665,17.6
random,3,2048,2,0.7484553321972146,0.6898713533411697,0.491779397757704,17.4
scaffold,2,1024,42,0.5451789627544622,0.9683470779121237,0.7265287725221011,7.2
scaffold,2,1024,1,0.5459205419205098,0.9675573178593597,0.725761831435992,7.3
scaffold,2,1024,2,0.5493136734928712,0.9639354787348098,0.7225813079958509,7.4
scaffold,2,2048,42,0.5574980277842818,0.9551429611955211,0.7149797840076791,16.3
scaffold,2,2048,1,0.5595960450049242,0.9528759800123888,0.7115779424940148,16.3
scaffold,2,2048,2,0.5574828708429347,0.9551593192264252,0.7152678705729306,16.1
scaffold,3,1024,42,0.5230838183542389,0.9915892350559652,0.7410421906104816,7.7
scaffold,3,1024,1,0.5283146106760188,0.9861363921645167,0.7355456668771623,7.8
scaffold,3,1024,2,0.5277983725288192,0.9866758852462642,0.7354834911680713,7.9
scaffold,3,2048,42,0.5543568690839267,0.9585270704172064,0.7126879905090382,17.2
scaffold,3,2048,1,0.5566726610154618,0.9560333255799888,0.7097121840433654,17.3
scaffold,3,2048,2,0.5589678683168999,0.9535553122210791,0.707647246432311,16.9
