split,n_train,seed,model,r2,rmse,mae,best_epoch,train_seconds
random,500,42,rf,0.5488886426017543,0.9238520656463353,0.6991606409292539,-1,0.9
random,500,42,gin,0.3928750157356262,1.0717651088424667,0.7983195185661316,57,34.1
random,500,1,rf,0.5372915001767555,0.9356518751156588,0.714386700262018,-1,0.8
random,500,1,gin,0.36987096071243286,1.091880999823224,0.8356634378433228,68,30.0
random,500,2,rf,0.5373181272138458,0.9356249532030266,0.718107701853503,-1,0.8
random,500,2,gin,0.437777578830719,1.0313703293390035,0.809484601020813,67,23.3
random,1000,42,rf,0.6046274418281484,0.8648958533354514,0.6414715919055084,-1,2.2
random,1000,42,gin,0.5486523509025574,0.9240940025927553,0.7033852934837341,69,43.6
random,1000,1,rf,0.6063397593023968,0.8630209340691382,0.6461151776111927,-1,2.0
random,1000,1,gin,0.5305860042572021,0.9424071946226493,0.7183029055595398,55,30.7
random,1000,2,rf,0.5834829044362486,0.8877219719966783,0.6756119629471017,-1,1.7
random,1000,2,gin,0.5499144196510315,0.9228011183096563,0.7185723185539246,64,34.5
random,1500,42,rf,0.6570220553917624,0.8055521298745726,0.6020800625085748,-1,3.4
random,1500,42,gin,0.5768595933914185,0.8947522752385977,0.6817514300346375,70,45.2
random,1500,1,rf,0.6651836003612377,0.7959099143431358,0.5931817846481224,-1,3.5
random,1500,1,gin,0.5512981414794922,0.9213815435234892,0.7009018659591675,61,37.3
random,1500,2,rf,0.6431333491262502,0.8217004713952988,0.6214458149304953,-1,3.0
random,1500,2,gin,0.5949636697769165,0.8754020176103195,0.6749429106712341,86,45.9
random,2000,42,rf,0.680279252487205,0.7777606441361096,0.5706769157552998,-1,5.3
random,2000,42,gin,0.6113542318344116,0.8575066804764658,0.6409145593643188,83,61.0
random,2000,1,rf,0.6867194272014111,0.7698875305570627,0.5670263707036374,-1,5.1
random,2000,1,gin,0.617884635925293,0.8502718743121384,0.6503187417984009,65,46.3
random,2000,2,rf,0.6909136927647208,0.7647164570721883,0.5719327085335217,-1,4.9
random,2000,2,gin,0.6405248641967773,0.8246980331228149,0.6352841854095459,61,41.4
random,2500,42,rf,0.7035312222726526,0.7489451884206976,0.5439441990656573,-1,6.7
random,2500,42,gin,0.6269941926002502,0.8400755806253536,0.6341553926467896,56,56.5
random,2500,1,rf,0.696296439581125,0.7580284317392472,0.5514729665757645,-1,6.4
random,2500,1,gin,0.670088529586792,0.7900584893967904,0.5915735960006714,80,65.5
random,2500,2,rf,0.707831797179441,0.7434932467763156,0.551728454262127,-1,6.2
random,2500,2,gin,0.6487108469009399,0.8152539823447122,0.6143010854721069,82,61.2
random,3000,42,rf,0.7225789601126762,0.7244864231537421,0.5233415957024998,-1,8.6
random,3000,42,gin,0.6387975811958313,0.8266770642213767,0.6245565414428711,49,59.4
random,3000,1,rf,0.7188650960107783,0.7293196883476436,0.5277423385667145,-1,8.7
random,3000,1,gin,0.6753065586090088,0.7837856343030637,0.5818938612937927,95,80.7
