color_label,scaffold_smiles,n_molecules
S1 (n=89),c1ccc(Nc2ncnc3ccccc23)cc1,89
S2 (n=22),c1ccc(Nc2ncnc3ccncc23)cc1,22
S3 (n=20),c1ccc(Nc2ccnc3ccccc23)cc1,20
S4 (n=15),c1ccccc1,15
S5 (n=14),c1ccc(Nc2ncnc3c2NCc2ccccc2O3)cc1,14
S6 (n=12),O=c1cc(-c2ccccc2)oc2ccccc12,12
S7 (n=11),O=C(Nc1ccccc1)c1cccc(-c2nc3ccccn3c2-c2ccnc(Nc3ccc(N4CCNCC4)cc3)n2)c1,11
S8 (n=11),O=C(Nc1ccccc1)c1cccc(-c2nc3ccccn3c2-c2ccnc(Nc3ccc(N4CCC(N5CCNCC5)CC4)cc3)n2)c1,11
other,c1ccc(-c2n[nH]c3ncncc23)cc1,10
other,O=C(Nc1ccccc1)c1cccc(-c2nc3ccccn3c2-c2ccnc(Nc3ccc(N4CCC(N5CCCCC5)CC4)cc3)n2)c1,10
other,O=C(C=Cc1ccccc1)Nc1ccccc1,10
other,c1ccc(COc2ccc(Nc3ccnc4ccccc34)cc2)cc1,9
other,c1ccc(CNc2ncnc3sc(-c4ccccc4)cc23)cc1,9
other,c1ccc(CNc2ncnc3[nH]c(-c4ccccc4)cc23)cc1,8
other,c1ccc(Nc2ncnc3c2sc2ccccc23)cc1,8
other,c1ccc(C2=NNC(c3ccccc3)C2)cc1,8
other,c1ccc(Nc2ncnc3cnccc23)cc1,8
other,c1ccc(COc2ccc(Nc3ncnc4ccc(-c5ccco5)cc34)cc2)cc1,8
other,O=C(Nc1ccccc1)c1cccc(-c2nc3ccccn3c2-c2ccnc(Nc3ccc(N4CCCCC4)cc3)n2)c1,7
other,O=c1[nH]c2cc3c(Nc4ccccc4)ncnc3cc2o1,7
other,O=c1cnc2cnc(Nc3ccccc3)nc2n1-c1ccccc1,7
other,O=C(NS(=O)(=O)c1ccccc1)c1cccnc1,7
other,c1ccc(C2=NN(c3nc(-c4ccccc4)cs3)C(c3ccccc3)C2)cc1,6
other,c1ccc(CNc2ncnc3ccccc23)cc1,6
other,O=C(Cc1ccccc1)NS(=O)(=O)c1ccccc1,6
other,c1ccc(Nc2ncnc3ccc(OC4CCNCC4)cc23)cc1,6
other,N=C(C=Cc1ccccc1)c1ccccc1,6
other,c1ccc(Nc2ncnc3ccc4c(c23)OCCO4)cc1,6
other,c1ccc(CNc2ccccc2)cc1,6
other,c1ccc(Nc2ccnc(Nc3ccc(N4CCNCC4)cc3)n2)cc1,5
other,c1ccc(Nc2ncnc3sccc23)cc1,5
other,C(#CC1CCCN1)c1cc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2s1,5
other,c1ccc(Cc2cc3c(Nc4ccccc4)ncnc3[nH]2)cc1,5
other,O=C(Nc1ccccc1)Nc1ccc(Oc2ncnc3ccccc23)cc1,5
other,O=C(Nc1ccccc1)c1cccc(-c2nc3ccccn3c2-c2ccnc(Nc3ccc(C4CCNCC4)cc3)n2)c1,5
other,c1ccc2sc(-c3ccc(Nc4ncnc5cc(OCCCN6CCNCC6)ccc45)cc3)nc2c1,5
other,O=C(OCCn1ccnc1)c1ccc(C2CC(c3ccccc3)=NN2)cc1,5
other,c1ccc(CNc2ncnc3oc(-c4ccccc4)cc23)cc1,5
other,c1ccc(Nc2ncnc3cc(OC4CCOC4)ccc23)cc1,5
other,C(=NNc1nccc(Nc2ccccc2)n1)c1ccccc1,5
other,O=c1oc2cc3ncnc(Nc4ccccc4)c3cc2n1CCCN1CCOCC1,5
other,O=C(C=Cc1ccccc1)Nc1ccc2ncnc(Nc3ccccc3)c2c1,5
other,c1ccc(Nc2nccc(-c3c[nH]c4ccccc34)n2)cc1,4
other,O=C(Nc1ccccc1)N(Cc1ccccc1)Cc1ccccc1,4
other,c1ccc(Nc2nc3cnc(Nc4ccc(N5CCNCC5)cc4)nc3[nH]2)cc1,4
other,O=C(C=CCNC1CC1)Nc1ccc2ncnc(Nc3ccccc3)c2c1,4
other,O=C(Nc1ccccc1)c1ccccc1,4
other,O=C(Nc1nc2ccccc2n1C1CCCCC1)c1ccccc1,4
other,c1ccc(Nc2ncnn3ccc(CN4CCCCC4)c23)cc1,4
other,c1ccc(CNc2ncnc3sccc23)cc1,4
other,c1ccc(Oc2ccnc(Nc3ccc(N4CCNCC4)cc3)n2)cc1,4
other,S=C(Nc1ccccc1)N(Cc1ccccc1)Cc1ccccc1,4
other,c1ccc(CNc2ncnc3ccncc23)cc1,4
other,c1ccc(CNc2ncnc3oc(-c4ccccc4)c(-c4ccccc4)c23)cc1,4
other,c1ccc(CNc2ncnc3sc4c(c23)CCNC4)cc1,4
other,c1ccc(COc2ccc(Nc3ncnc4ccccc34)cc2)nc1,4
other,c1ccc2[nH]c(SSc3cc4ccccc4[nH]3)cc2c1,4
other,c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCCC6)c45)ccc32)cc1,4
other,O=C1CSC(N2N=C(c3ccccc3)CC2c2ccccc2)=N1,4
other,O=C1COc2cc3ncnc(Nc4ccccc4)c3cc2N1CCCN1CCOCC1,4
other,c1ccc(Cn2ncc3cc(Nc4ncnn5cccc45)ccc32)cc1,4
other,O=C1Nc2ccccc2C1=Cc1ccc[nH]1,4
other,c1ccc(Nc2ncnc3cc(OCC4CN5CCCC5CO4)ccc23)cc1,3
other,O=C(Nc1cccc(Nc2ncnc3ccccc23)c1)c1ccccc1,3
other,c1ccc(Nc2ncnc3cncnc23)cc1,3
other,c1ccc(Nc2ncnc3cc(OC4COC5CCOC54)ccc23)cc1,3
other,c1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)c4c(c23)OCCO4)cc1,3
other,c1ccc(Nc2ncnc3[nH]c(CCc4ccccn4)cc23)cc1,3
other,c1ccc(Nc2ncnc3[nH]c4c(c23)CCCC4)cc1,3
other,c1ccc(-c2cn(C3CCNCC3)c3ncncc23)cc1,3
other,c1ccc(-c2ccccc2)cc1,3
other,c1ccc(-c2cccc(-c3ccccc3)c2)cc1,3
other,c1ccc(CCc2cc3c(Nc4ccccc4)ncnc3[nH]2)cc1,3
other,c1ccc(CNc2ncnc3[nH]c(-c4ccc(CN5CCNCC5)cc4)cc23)cc1,3
other,O=c1ccc2cnc(Nc3ccc(N4CCNCC4)cc3)nc2n1-c1ccccc1,3
other,O=c1[nH]c2cc3c(Nc4ccc(OCc5ccccc5)cc4)ncnc3cc2o1,3
other,c1ccc(COc2ccc(Nc3cc(Oc4ccccc4)ncn3)cc2)cc1,3
