color_label,scaffold_smiles,n_molecules
S1 (n=459),c1ccc(Nc2ncnc3ccccc23)cc1,459
S2 (n=94),c1ccc(Nc2ncnc3ccncc23)cc1,94
S3 (n=89),c1ccc(Nc2ccnc3ccccc23)cc1,89
S4 (n=65),c1ccc(-c2n[nH]c3ncncc23)cc1,65
S5 (n=59),c1ccccc1,59
S6 (n=48),c1ccc(CNc2ncnc3[nH]c(-c4ccccc4)cc23)cc1,48
S7 (n=47),c1ccc(CNc2ncnc3sc(-c4ccccc4)cc23)cc1,47
S8 (n=46),c1ccc(C2=NNC(c3ccccc3)C2)cc1,46
other,O=C(Nc1ccccc1)c1cccc(-c2nc3ccccn3c2-c2ccnc(Nc3ccc(N4CCC(N5CCNCC5)CC4)cc3)n2)c1,45
other,O=C(Nc1ccccc1)c1cccc(-c2nc3ccccn3c2-c2ccnc(Nc3ccc(N4CCC(N5CCCCC5)CC4)cc3)n2)c1,44
other,c1ccc(Nc2ncnc3cnccc23)cc1,44
other,O=C(Nc1ccccc1)c1cccc(-c2nc3ccccn3c2-c2ccnc(Nc3ccc(N4CCNCC4)cc3)n2)c1,42
other,c1ccc(C2=NN(c3nc(-c4ccccc4)cs3)C(c3ccccc3)C2)cc1,42
other,c1ccc(Nc2ncnc3c2NCc2ccccc2O3)cc1,39
other,O=c1cc(-c2ccccc2)oc2ccccc12,37
other,O=C1CSC(N2N=C(c3ccccc3)CC2c2ccccc2)=N1,36
