split,label,seed,model,r2,rmse,mae,best_epoch,train_seconds
random,real,42,rf,0.7414001307673014,0.6994790379274107,0.501840675608001,-1,15.7
random,real,42,gin,0.7033613920211792,0.7491597395998513,0.5505825281143188,71,113.5
random,shuffled,42,rf,-0.17777786230757342,1.4927677607581573,1.232919420695114,-1,78.4
random,shuffled,42,gin,-0.028775811195373535,1.3951500553519494,1.1742538213729858,2,20.8
random,shuffled,1,rf,-0.21108661649499139,1.5137290863505304,1.2641640957466573,-1,84.6
random,shuffled,1,gin,0.0015257596969604492,1.3744501401614817,1.1602154970169067,9,31.9
random,shuffled,2,rf,-0.14288519017395163,1.4704892572446957,1.2243531911534442,-1,86.6
random,shuffled,2,gin,0.010780274868011475,1.3680656446718515,1.1528136730194092,1,16.4
scaffold,real,42,rf,0.559841088375189,0.9526108502064365,0.7124703000682653,-1,13.3
scaffold,real,42,gin,0.5243611335754395,0.990260468088402,0.7447372674942017,100,76.7
scaffold,shuffled,42,rf,-0.16425382223393514,1.5492967520191958,1.2624156614391508,-1,64.1
scaffold,shuffled,42,gin,-0.03231537342071533,1.4588712880787886,1.197477102279663,7,18.5
scaffold,shuffled,1,rf,-0.15701318857795776,1.544471607455441,1.2809772256550602,-1,88.3
scaffold,shuffled,1,gin,-0.014693379402160645,1.4463658798598824,1.2012922763824463,1,18.1
scaffold,shuffled,2,rf,-0.13552412829081728,1.5300617473775902,1.2650992413218232,-1,71.1
scaffold,shuffled,2,gin,-0.02074408531188965,1.4506719249152038,1.2075432538986206,1,18.4
